strategy,examples,selected_tokens,avg_tokens_per_example,unique_field_position_tokens,duplicate_token_rows,duplicate_token_row_pct,weak_token_rows,weak_token_pct,candidate_rows,source_rows,reference_rows,top_positions,top_repeated_tokens
current_fixed_6,300,1752,5.84,585,1417,80.87899543378995,336,19.17808219178082,888,300,564,"[[""candidate_middle"", 300], [""source_middle"", 300], [""reference_middle"", 300], [""candidate_first"", 298], [""candidate_last"", 290], [""reference_last"", 264]]","[{""count"": 44, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""think""}, {""count"": 38, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""yeah""}, {""count"": 36, ""field"": ""reference"", ""position"": ""middle"", ""token"": ""_nofact""}, {""count"": 27, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""that""}, {""count"": 24, ""field"": ""source"", ""position"": ""middle"", ""token"": ""like""}, {""count"": 20, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""that""}, {""count"": 19, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""know""}, {""count"": 18, ""field"": ""source"", ""position"": ""middle"", ""token"": ""that""}]"
candidate_only_6,300,1684,5.613333333333333,1014,900,53.44418052256532,372,22.090261282660332,1684,0,0,"[[""candidate_middle"", 300], [""candidate_first"", 298], [""candidate_last"", 290], [""candidate_content_2"", 208], [""candidate_content_1"", 179], [""candidate_content_3"", 144], [""candidate_content_4"", 123], [""candidate_content_6"", 64]]","[{""count"": 44, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""think""}, {""count"": 38, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""yeah""}, {""count"": 27, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""that""}, {""count"": 20, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""that""}, {""count"": 19, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""know""}, {""count"": 18, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""that""}, {""count"": 13, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""sure""}, {""count"": 12, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""wonder""}]"
candidate_source_6,300,1770,5.9,765,1253,70.7909604519774,386,21.807909604519775,1170,600,0,"[[""candidate_middle"", 300], [""source_middle"", 300], [""candidate_first"", 298], [""source_last"", 294], [""candidate_last"", 290], [""candidate_content_2"", 92], [""candidate_content_1"", 87], [""candidate_content_3"", 52]]","[{""count"": 44, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""think""}, {""count"": 38, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""yeah""}, {""count"": 27, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""that""}, {""count"": 24, ""field"": ""source"", ""position"": ""middle"", ""token"": ""like""}, {""count"": 20, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""that""}, {""count"": 19, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""know""}, {""count"": 18, ""field"": ""source"", ""position"": ""last"", ""token"": ""about""}, {""count"": 18, ""field"": ""source"", ""position"": ""middle"", ""token"": ""that""}]"
candidate_reference_6,300,1734,5.78,758,1217,70.1845444059977,314,18.108419838523645,1170,0,564,"[[""candidate_middle"", 300], [""reference_middle"", 300], [""candidate_first"", 298], [""candidate_last"", 290], [""reference_last"", 264], [""candidate_content_2"", 92], [""candidate_content_1"", 87], [""candidate_content_3"", 52]]","[{""count"": 44, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""think""}, {""count"": 38, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""yeah""}, {""count"": 36, ""field"": ""reference"", ""position"": ""middle"", ""token"": ""_nofact""}, {""count"": 27, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""that""}, {""count"": 20, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""that""}, {""count"": 19, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""know""}, {""count"": 13, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""sure""}, {""count"": 12, ""field"": ""reference"", ""position"": ""last"", ""token"": ""music""}]"
balanced_6,300,1762,5.873333333333333,557,1476,83.76844494892168,229,12.996594778660613,598,600,564,"[[""candidate_middle"", 300], [""source_middle"", 300], [""reference_middle"", 300], [""source_last"", 294], [""candidate_last"", 290], [""reference_last"", 264], [""candidate_first"", 8], [""source_first"", 6]]","[{""count"": 36, ""field"": ""reference"", ""position"": ""middle"", ""token"": ""_nofact""}, {""count"": 24, ""field"": ""source"", ""position"": ""middle"", ""token"": ""like""}, {""count"": 20, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""that""}, {""count"": 18, ""field"": ""source"", ""position"": ""last"", ""token"": ""about""}, {""count"": 18, ""field"": ""source"", ""position"": ""middle"", ""token"": ""that""}, {""count"": 12, ""field"": ""reference"", ""position"": ""last"", ""token"": ""music""}, {""count"": 12, ""field"": ""reference"", ""position"": ""middle"", ""token"": ""occurred""}, {""count"": 12, ""field"": ""reference"", ""position"": ""last"", ""token"": ""cumberland""}]"
candidate_only_10,300,2417,8.056666666666667,1507,1238,51.220521307405875,508,21.017790649565576,2417,0,0,"[[""candidate_middle"", 300], [""candidate_first"", 298], [""candidate_last"", 290], [""candidate_content_1"", 260], [""candidate_content_2"", 245], [""candidate_content_3"", 196], [""candidate_content_4"", 195], [""candidate_content_6"", 164]]","[{""count"": 44, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""think""}, {""count"": 38, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""yeah""}, {""count"": 27, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""that""}, {""count"": 26, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""that""}, {""count"": 20, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""that""}, {""count"": 19, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""know""}, {""count"": 14, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""know""}, {""count"": 13, ""field"": ""candidate"", ""position"": ""content_2"", ""token"": ""that""}]"
candidate_source_10,300,2802,9.34,1268,1910,68.1655960028551,622,22.198429693076374,1908,894,0,"[[""candidate_middle"", 300], [""source_middle"", 300], [""source_first"", 300], [""candidate_first"", 298], [""source_last"", 294], [""candidate_last"", 290], [""candidate_content_2"", 228], [""candidate_content_1"", 210]]","[{""count"": 54, ""field"": ""source"", ""position"": ""first"", ""token"": ""hello""}, {""count"": 44, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""think""}, {""count"": 38, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""yeah""}, {""count"": 30, ""field"": ""source"", ""position"": ""first"", ""token"": ""like""}, {""count"": 30, ""field"": ""source"", ""position"": ""first"", ""token"": ""know""}, {""count"": 27, ""field"": ""candidate"", ""position"": ""first"", ""token"": ""that""}, {""count"": 24, ""field"": ""source"", ""position"": ""first"", ""token"": ""good""}, {""count"": 24, ""field"": ""source"", ""position"": ""middle"", ""token"": ""like""}]"
candidate_no_first_6,300,1618,5.3933333333333335,1121,724,44.746600741656366,276,17.058096415327565,1618,0,0,"[[""candidate_middle"", 300], [""candidate_last"", 290], [""candidate_content_2"", 208], [""candidate_content_1"", 179], [""candidate_content_4"", 165], [""candidate_content_3"", 144], [""candidate_content_5"", 80], [""candidate_content_6"", 64]]","[{""count"": 20, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""that""}, {""count"": 18, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""that""}, {""count"": 11, ""field"": ""candidate"", ""position"": ""content_2"", ""token"": ""that""}, {""count"": 10, ""field"": ""candidate"", ""position"": ""last"", ""token"": ""about""}, {""count"": 8, ""field"": ""candidate"", ""position"": ""content_3"", ""token"": ""that""}, {""count"": 8, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""great""}, {""count"": 8, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""wonder""}, {""count"": 8, ""field"": ""candidate"", ""position"": ""content_4"", ""token"": ""that""}]"
candidate_content_6,300,1467,4.89,1132,522,35.58282208588957,0,0.0,1467,0,0,"[[""candidate_last"", 263], [""candidate_middle"", 244], [""candidate_content_2"", 164], [""candidate_content_1"", 140], [""candidate_content_4"", 134], [""candidate_content_3"", 121], [""candidate_content_6"", 98], [""candidate_content_5"", 66]]","[{""count"": 8, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""great""}, {""count"": 8, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""wonder""}, {""count"": 8, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""know""}, {""count"": 7, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""have""}, {""count"": 7, ""field"": ""candidate"", ""position"": ""content_4"", ""token"": ""wonder""}, {""count"": 7, ""field"": ""candidate"", ""position"": ""content_3"", ""token"": ""great""}, {""count"": 7, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""know""}, {""count"": 6, ""field"": ""candidate"", ""position"": ""content_2"", ""token"": ""have""}]"
candidate_content_10,300,1995,6.65,1545,696,34.88721804511278,0,0.0,1995,0,0,"[[""candidate_last"", 263], [""candidate_middle"", 244], [""candidate_content_1"", 199], [""candidate_content_2"", 194], [""candidate_content_3"", 160], [""candidate_content_4"", 158], [""candidate_content_6"", 134], [""candidate_content_5"", 133]]","[{""count"": 14, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""know""}, {""count"": 13, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""great""}, {""count"": 8, ""field"": ""candidate"", ""position"": ""content_4"", ""token"": ""wonder""}, {""count"": 8, ""field"": ""candidate"", ""position"": ""content_1"", ""token"": ""wonder""}, {""count"": 8, ""field"": ""candidate"", ""position"": ""content_4"", ""token"": ""know""}, {""count"": 7, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""have""}, {""count"": 7, ""field"": ""candidate"", ""position"": ""content_3"", ""token"": ""great""}, {""count"": 7, ""field"": ""candidate"", ""position"": ""middle"", ""token"": ""know""}]"
